cardnumber,surname,firstname,branchcode,categorycode,dateofbirth,email,phone,address,city,zipcode,userid,sex
LIB000542,Lewis,Michael,CPL,PT,1972-03-11,mlewis@example.com,07700000542,145 Church Lane,Cardiff,CF1 1AA,mlewis,M
LIB000543,Young,Michael,CPL,PT,1973-04-12,myoung@example.com,07700000543,146 Elm Close,Bradford,BD1 1AA,myoung,F
LIB000544,King,Michael,CPL,PT,1974-05-13,mking@example.com,07700000544,147 High Street,Belfast,BT1 1AA,mking,M
LIB000545,Wright,Michael,CPL,PT,1975-06-14,mwright@example.com,07700000545,148 Brook Street,Leicester,LE1 1AA,mwright,F
LIB000546,Scott,Michael,CPL,PT,1976-07-15,mscott@example.com,07700000546,149 Mill Road,Glasgow,G1 1AA,mscott,M
LIB000547,Green,Michael,CPL,PT,1977-08-16,mgreen@example.com,07700000547,150 Station Road,Bristol,BS1 1AA,mgreen,F
LIB000548,Baker,Michael,CPL,PT,1978-09-17,mbaker@example.com,07700000548,151 Park Avenue,Sheffield,S1 1AA,mbaker,M
LIB000549,Adams,Michael,CPL,PT,1979-10-18,madams@example.com,07700000549,152 Victoria Street,Liverpool,L1 1AA,madams,F
LIB000550,Nelson,Michael,CPL,PT,1980-11-19,mnelson@example.com,07700000550,153 School Lane,Manchester,M1 1AA,mnelson,M
LIB000551,Carter,Michael,CPL,PT,1981-12-20,mcarter@example.com,07700000551,154 Orchard Way,Nottingham,NG1 1AA,mcarter,F
LIB000552,Mitchell,Michael,CPL,PT,1982-01-21,mmitchell@example.com,07700000552,155 Church Lane,Edinburgh,EH1 1AA,mmitchell,M
LIB000553,Perez,Michael,CPL,PT,1983-02-22,mperez@example.com,07700000553,156 Elm Close,Leeds,LS1 1BA,mperez,F
LIB000554,Turner,Michael,CPL,PT,1984-03-23,mturner@example.com,07700000554,157 High Street,Cardiff,CF1 1AA,mturner,M
LIB000555,Phillips,Michael,CPL,PT,1985-04-24,mphillips@example.com,07700000555,158 Brook Street,Bradford,BD1 1AA,mphillips,F
LIB000556,Campbell,Michael,CPL,PT,1986-05-25,mcampbell@example.com,07700000556,159 Mill Road,Belfast,BT1 1AA,mcampbell,M
LIB000557,Parker,Michael,CPL,PT,1987-06-26,mparker@example.com,07700000557,160 Station Road,Leicester,LE1 1AA,mparker,F
LIB000558,Collins,Michael,CPL,PT,1988-07-27,mcollins@example.com,07700000558,161 Park Avenue,Glasgow,G1 1AA,mcollins,M
LIB000559,Edwards,Michael,CPL,PT,1989-08-28,medwards@example.com,07700000559,162 Victoria Street,Bristol,BS1 1AA,medwards,F
LIB000560,Gibson,Linda,CPL,PT,1990-09-01,lgibson@example.com,07700000560,163 School Lane,Sheffield,S1 1AA,lgibson,M
LIB000561,Fleming,Linda,CPL,PT,1991-10-02,lfleming@example.com,07700000561,164 Orchard Way,Liverpool,L1 1AA,lfleming,F
LIB000562,Moore,Linda,CPL,PT,1992-11-03,lmoore@example.com,07700000562,165 Church Lane,Manchester,M1 1AA,lmoore,M
LIB000563,Hall,Linda,CPL,PT,1993-12-04,lhall@example.com,07700000563,166 Elm Close,Nottingham,NG1 1AA,lhall,F
LIB000564,Robinson,Linda,CPL,PT,1994-01-05,lrobinson@example.com,07700000564,167 High Street,Edinburgh,EH1 1AA,lrobinson,M
LIB000565,Murray,Linda,CPL,PT,1995-02-06,lmurray@example.com,07700000565,168 Brook Street,Leeds,LS1 1BA,lmurray,F
LIB000566,Cooper,Linda,CPL,PT,1996-03-07,lcooper@example.com,07700000566,169 Mill Road,Cardiff,CF1 1AA,lcooper,M
LIB000567,Williams,Linda,CPL,PT,1997-04-08,lwilliams@example.com,07700000567,170 Station Road,Bradford,BD1 1AA,lwilliams,F
LIB000568,Smith,Linda,CPL,PT,1998-05-09,lsmith@example.com,07700000568,171 Park Avenue,Belfast,BT1 1AA,lsmith,M
LIB000569,Jones,Linda,CPL,PT,1999-06-10,ljones@example.com,07700000569,172 Victoria Street,Leicester,LE1 1AA,ljones,F
LIB000570,Taylor,Linda,CPL,PT,2000-07-11,ltaylor@example.com,07700000570,173 School Lane,Glasgow,G1 1AA,ltaylor,M
LIB000571,Brown,Linda,CPL,PT,2001-08-12,lbrown@example.com,07700000571,174 Orchard Way,Bristol,BS1 1AA,lbrown,F
LIB000572,Wilson,Linda,CPL,PT,2002-09-13,lwilson@example.com,07700000572,175 Church Lane,Sheffield,S1 1AA,lwilson,M
LIB000573,Evans,Linda,CPL,PT,2003-10-14,levans@example.com,07700000573,176 Elm Close,Liverpool,L1 1AA,levans,F
LIB000574,Thomas,Linda,CPL,PT,2004-11-15,lthomas@example.com,07700000574,177 High Street,Manchester,M1 1AA,lthomas,M
LIB000575,Roberts,Linda,CPL,PT,2005-12-16,lroberts@example.com,07700000575,178 Brook Street,Nottingham,NG1 1AA,lroberts,F
LIB000576,Johnson,Linda,CPL,PT,2006-01-17,ljohnson@example.com,07700000576,179 Mill Road,Edinburgh,EH1 1AA,ljohnson,M
LIB000577,Walker,Linda,CPL,PT,2007-02-18,lwalker@example.com,07700000577,180 Station Road,Leeds,LS1 1BA,lwalker,F
LIB000578,White,Linda,CPL,PT,2008-03-19,lwhite@example.com,07700000578,181 Park Avenue,Cardiff,CF1 1AA,lwhite,M
LIB000579,Harris,Linda,CPL,PT,2009-04-20,lharris@example.com,07700000579,182 Victoria Street,Bradford,BD1 1AA,lharris,F
LIB000580,Martin,Linda,CPL,PT,2010-05-21,lmartin@example.com,07700000580,183 School Lane,Belfast,BT1 1AA,lmartin,M
LIB000581,Clark,Linda,CPL,PT,2011-06-22,lclark@example.com,07700000581,184 Orchard Way,Leicester,LE1 1AA,lclark,F
LIB000582,Lewis,Linda,CPL,PT,2012-07-23,llewis@example.com,07700000582,185 Church Lane,Glasgow,G1 1AA,llewis,M
LIB000583,Young,Linda,CPL,PT,2013-08-24,lyoung@example.com,07700000583,186 Elm Close,Bristol,BS1 1AA,lyoung,F
LIB000584,King,Linda,CPL,PT,2014-09-25,lking@example.com,07700000584,187 High Street,Sheffield,S1 1AA,lking,M
LIB000585,Wright,Linda,CPL,PT,1950-10-26,lwright@example.com,07700000585,188 Brook Street,Liverpool,L1 1AA,lwright,F
LIB000586,Scott,Linda,CPL,PT,1951-11-27,lscott@example.com,07700000586,189 Mill Road,Manchester,M1 1AA,lscott,M
LIB000587,Green,Linda,CPL,PT,1952-12-28,lgreen@example.com,07700000587,190 Station Road,Nottingham,NG1 1AA,lgreen,F
LIB000588,Baker,Linda,CPL,PT,1953-01-01,lbaker@example.com,07700000588,191 Park Avenue,Edinburgh,EH1 1AA,lbaker,M
LIB000589,Adams,Linda,CPL,PT,1954-02-02,ladams@example.com,07700000589,192 Victoria Street,Leeds,LS1 1BA,ladams,F
LIB000590,Nelson,Linda,CPL,PT,1955-03-03,lnelson@example.com,07700000590,193 School Lane,Cardiff,CF1 1AA,lnelson,M
LIB000591,Carter,Linda,CPL,PT,1956-04-04,lcarter@example.com,07700000591,194 Orchard Way,Bradford,BD1 1AA,lcarter,F
LIB000592,Mitchell,Linda,CPL,PT,1957-05-05,lmitchell@example.com,07700000592,195 Church Lane,Belfast,BT1 1AA,lmitchell,M
LIB000593,Perez,Linda,CPL,PT,1958-06-06,lperez@example.com,07700000593,196 Elm Close,Leicester,LE1 1AA,lperez,F
LIB000594,Turner,Linda,CPL,PT,1959-07-07,lturner@example.com,07700000594,197 High Street,Glasgow,G1 1AA,lturner,M
LIB000595,Phillips,Linda,CPL,PT,1960-08-08,lphillips@example.com,07700000595,198 Brook Street,Bristol,BS1 1AA,lphillips,F
LIB000596,Campbell,Linda,CPL,PT,1961-09-09,lcampbell@example.com,07700000596,199 Mill Road,Sheffield,S1 1AA,lcampbell,M
LIB000597,Parker,Linda,CPL,PT,1962-10-10,lparker@example.com,07700000597,1 Station Road,Liverpool,L1 1AA,lparker,F
LIB000598,Collins,Linda,CPL,PT,1963-11-11,lcollins@example.com,07700000598,2 Park Avenue,Manchester,M1 1AA,lcollins,M
LIB000599,Edwards,Linda,CPL,PT,1964-12-12,ledwards@example.com,07700000599,3 Victoria Street,Nottingham,NG1 1AA,ledwards,F
LIB000600,Gibson,David,CPL,PT,1965-01-13,dgibson@example.com,07700000600,4 School Lane,Edinburgh,EH1 1AA,dgibson,M
LIB000601,Fleming,David,CPL,PT,1966-02-14,dfleming@example.com,07700000601,5 Orchard Way,Leeds,LS1 1BA,dfleming,F
LIB000602,Moore,David,CPL,PT,1967-03-15,dmoore@example.com,07700000602,6 Church Lane,Cardiff,CF1 1AA,dmoore,M
LIB000603,Hall,David,CPL,PT,1968-04-16,dhall@example.com,07700000603,7 Elm Close,Bradford,BD1 1AA,dhall,F
LIB000604,Robinson,David,CPL,PT,1969-05-17,drobinson@example.com,07700000604,8 High Street,Belfast,BT1 1AA,drobinson,M
LIB000605,Murray,David,CPL,PT,1970-06-18,dmurray@example.com,07700000605,9 Brook Street,Leicester,LE1 1AA,dmurray,F
LIB000606,Cooper,David,CPL,PT,1971-07-19,dcooper@example.com,07700000606,10 Mill Road,Glasgow,G1 1AA,dcooper,M
LIB000607,Williams,David,CPL,PT,1972-08-20,dwilliams@example.com,07700000607,11 Station Road,Bristol,BS1 1AA,dwilliams,F
LIB000608,Smith,David,CPL,PT,1973-09-21,dsmith@example.com,07700000608,12 Park Avenue,Sheffield,S1 1AA,dsmith,M
LIB000609,Jones,David,CPL,PT,1974-10-22,djones@example.com,07700000609,13 Victoria Street,Liverpool,L1 1AA,djones,F
LIB000610,Taylor,David,CPL,PT,1975-11-23,dtaylor@example.com,07700000610,14 School Lane,Manchester,M1 1AA,dtaylor,M
LIB000611,Brown,David,CPL,PT,1976-12-24,dbrown@example.com,07700000611,15 Orchard Way,Nottingham,NG1 1AA,dbrown,F
LIB000612,Wilson,David,CPL,PT,1977-01-25,dwilson@example.com,07700000612,16 Church Lane,Edinburgh,EH1 1AA,dwilson,M
LIB000613,Evans,David,CPL,PT,1978-02-26,devans@example.com,07700000613,17 Elm Close,Leeds,LS1 1BA,devans,F
LIB000614,Thomas,David,CPL,PT,1979-03-27,dthomas@example.com,07700000614,18 High Street,Cardiff,CF1 1AA,dthomas,M
LIB000615,Roberts,David,CPL,PT,1980-04-28,droberts@example.com,07700000615,19 Brook Street,Bradford,BD1 1AA,droberts,F
LIB000616,Johnson,David,CPL,PT,1981-05-01,djohnson@example.com,07700000616,20 Mill Road,Belfast,BT1 1AA,djohnson,M
LIB000617,Walker,David,CPL,PT,1982-06-02,dwalker@example.com,07700000617,21 Station Road,Leicester,LE1 1AA,dwalker,F
LIB000618,White,David,CPL,PT,1983-07-03,dwhite@example.com,07700000618,22 Park Avenue,Glasgow,G1 1AA,dwhite,M
LIB000619,Harris,David,CPL,PT,1984-08-04,dharris@example.com,07700000619,23 Victoria Street,Bristol,BS1 1AA,dharris,F
LIB000620,Martin,David,CPL,PT,1985-09-05,dmartin@example.com,07700000620,24 School Lane,Sheffield,S1 1AA,dmartin,M
LIB000621,Clark,David,CPL,PT,1986-10-06,dclark@example.com,07700000621,25 Orchard Way,Liverpool,L1 1AA,dclark,F
LIB000622,Lewis,David,CPL,PT,1987-11-07,dlewis@example.com,07700000622,26 Church Lane,Manchester,M1 1AA,dlewis,M
LIB000623,Young,David,CPL,PT,1988-12-08,dyoung@example.com,07700000623,27 Elm Close,Nottingham,NG1 1AA,dyoung,F
LIB000624,King,David,CPL,PT,1989-01-09,dking@example.com,07700000624,28 High Street,Edinburgh,EH1 1AA,dking,M
LIB000625,Wright,David,CPL,PT,1990-02-10,dwright@example.com,07700000625,29 Brook Street,Leeds,LS1 1BA,dwright,F
LIB000626,Scott,David,CPL,PT,1991-03-11,dscott@example.com,07700000626,30 Mill Road,Cardiff,CF1 1AA,dscott,M
LIB000627,Green,David,CPL,PT,1992-04-12,dgreen@example.com,07700000627,31 Station Road,Bradford,BD1 1AA,dgreen,F
LIB000628,Baker,David,CPL,PT,1993-05-13,dbaker@example.com,07700000628,32 Park Avenue,Belfast,BT1 1AA,dbaker,M
LIB000629,Adams,David,CPL,PT,1994-06-14,dadams@example.com,07700000629,33 Victoria Street,Leicester,LE1 1AA,dadams,F
LIB000630,Nelson,David,CPL,PT,1995-07-15,dnelson@example.com,07700000630,34 School Lane,Glasgow,G1 1AA,dnelson,M
LIB000631,Carter,David,CPL,PT,1996-08-16,dcarter@example.com,07700000631,35 Orchard Way,Bristol,BS1 1AA,dcarter,F
LIB000632,Mitchell,David,CPL,PT,1997-09-17,dmitchell@example.com,07700000632,36 Church Lane,Sheffield,S1 1AA,dmitchell,M
LIB000633,Perez,David,CPL,PT,1998-10-18,dperez@example.com,07700000633,37 Elm Close,Liverpool,L1 1AA,dperez,F
LIB000634,Turner,David,CPL,PT,1999-11-19,dturner@example.com,07700000634,38 High Street,Manchester,M1 1AA,dturner,M
LIB000635,Phillips,David,CPL,PT,2000-12-20,dphillips@example.com,07700000635,39 Brook Street,Nottingham,NG1 1AA,dphillips,F
LIB000636,Campbell,David,CPL,PT,2001-01-21,dcampbell@example.com,07700000636,40 Mill Road,Edinburgh,EH1 1AA,dcampbell,M
LIB000637,Parker,David,CPL,PT,2002-02-22,dparker@example.com,07700000637,41 Station Road,Leeds,LS1 1BA,dparker,F
LIB000638,Collins,David,CPL,PT,2003-03-23,dcollins@example.com,07700000638,42 Park Avenue,Cardiff,CF1 1AA,dcollins,M
LIB000639,Edwards,David,CPL,PT,2004-04-24,dedwards@example.com,07700000639,43 Victoria Street,Bradford,BD1 1AA,dedwards,F
LIB000640,Gibson,Barbara,CPL,PT,2005-05-25,bgibson@example.com,07700000640,44 School Lane,Belfast,BT1 1AA,bgibson,M
LIB000641,Fleming,Barbara,CPL,PT,2006-06-26,bfleming@example.com,07700000641,45 Orchard Way,Leicester,LE1 1AA,bfleming,F
LIB000642,Moore,Barbara,CPL,PT,2007-07-27,bmoore@example.com,07700000642,46 Church Lane,Glasgow,G1 1AA,bmoore,M
LIB000643,Hall,Barbara,CPL,PT,2008-08-28,bhall@example.com,07700000643,47 Elm Close,Bristol,BS1 1AA,bhall,F
LIB000644,Robinson,Barbara,CPL,PT,2009-09-01,brobinson@example.com,07700000644,48 High Street,Sheffield,S1 1AA,brobinson,M
LIB000645,Murray,Barbara,CPL,PT,2010-10-02,bmurray@example.com,07700000645,49 Brook Street,Liverpool,L1 1AA,bmurray,F
LIB000646,Cooper,Barbara,CPL,PT,2011-11-03,bcooper@example.com,07700000646,50 Mill Road,Manchester,M1 1AA,bcooper,M
LIB000647,Williams,Barbara,CPL,PT,2012-12-04,bwilliams@example.com,07700000647,51 Station Road,Nottingham,NG1 1AA,bwilliams,F
LIB000648,Smith,Barbara,CPL,PT,2013-01-05,bsmith@example.com,07700000648,52 Park Avenue,Edinburgh,EH1 1AA,bsmith,M
LIB000649,Jones,Barbara,CPL,PT,2014-02-06,bjones@example.com,07700000649,53 Victoria Street,Leeds,LS1 1BA,bjones,F
LIB000650,Taylor,Barbara,CPL,PT,1950-03-07,btaylor@example.com,07700000650,54 School Lane,Cardiff,CF1 1AA,btaylor,M
LIB000651,Brown,Barbara,CPL,PT,1951-04-08,bbrown@example.com,07700000651,55 Orchard Way,Bradford,BD1 1AA,bbrown,F
LIB000652,Wilson,Barbara,CPL,PT,1952-05-09,bwilson@example.com,07700000652,56 Church Lane,Belfast,BT1 1AA,bwilson,M
LIB000653,Evans,Barbara,CPL,PT,1953-06-10,bevans@example.com,07700000653,57 Elm Close,Leicester,LE1 1AA,bevans,F
LIB000654,Thomas,Barbara,CPL,PT,1954-07-11,bthomas@example.com,07700000654,58 High Street,Glasgow,G1 1AA,bthomas,M
LIB000655,Roberts,Barbara,CPL,PT,1955-08-12,broberts@example.com,07700000655,59 Brook Street,Bristol,BS1 1AA,broberts,F
LIB000656,Johnson,Barbara,CPL,PT,1956-09-13,bjohnson@example.com,07700000656,60 Mill Road,Sheffield,S1 1AA,bjohnson,M
LIB000657,Walker,Barbara,CPL,PT,1957-10-14,bwalker@example.com,07700000657,61 Station Road,Liverpool,L1 1AA,bwalker,F
LIB000658,White,Barbara,CPL,PT,1958-11-15,bwhite@example.com,07700000658,62 Park Avenue,Manchester,M1 1AA,bwhite,M
LIB000659,Harris,Barbara,CPL,PT,1959-12-16,bharris@example.com,07700000659,63 Victoria Street,Nottingham,NG1 1AA,bharris,F
LIB000660,Martin,Barbara,CPL,PT,1960-01-17,bmartin@example.com,07700000660,64 School Lane,Edinburgh,EH1 1AA,bmartin,M
LIB000661,Clark,Barbara,CPL,PT,1961-02-18,bclark@example.com,07700000661,65 Orchard Way,Leeds,LS1 1BA,bclark,F
LIB000662,Lewis,Barbara,CPL,PT,1962-03-19,blewis@example.com,07700000662,66 Church Lane,Cardiff,CF1 1AA,blewis,M
LIB000663,Young,Barbara,CPL,PT,1963-04-20,byoung@example.com,07700000663,67 Elm Close,Bradford,BD1 1AA,byoung,F
LIB000664,King,Barbara,CPL,PT,1964-05-21,bking@example.com,07700000664,68 High Street,Belfast,BT1 1AA,bking,M
LIB000665,Wright,Barbara,CPL,PT,1965-06-22,bwright@example.com,07700000665,69 Brook Street,Leicester,LE1 1AA,bwright,F
LIB000666,Scott,Barbara,CPL,PT,1966-07-23,bscott@example.com,07700000666,70 Mill Road,Glasgow,G1 1AA,bscott,M
LIB000667,Green,Barbara,CPL,PT,1967-08-24,bgreen@example.com,07700000667,71 Station Road,Bristol,BS1 1AA,bgreen,F
LIB000668,Baker,Barbara,CPL,PT,1968-09-25,bbaker@example.com,07700000668,72 Park Avenue,Sheffield,S1 1AA,bbaker,M
LIB000669,Adams,Barbara,CPL,PT,1969-10-26,badams@example.com,07700000669,73 Victoria Street,Liverpool,L1 1AA,badams,F
LIB000670,Nelson,Barbara,CPL,PT,1970-11-27,bnelson@example.com,07700000670,74 School Lane,Manchester,M1 1AA,bnelson,M
LIB000671,Carter,Barbara,CPL,PT,1971-12-28,bcarter@example.com,07700000671,75 Orchard Way,Nottingham,NG1 1AA,bcarter,F
LIB000672,Mitchell,Barbara,CPL,PT,1972-01-01,bmitchell@example.com,07700000672,76 Church Lane,Edinburgh,EH1 1AA,bmitchell,M
LIB000673,Perez,Barbara,CPL,PT,1973-02-02,bperez@example.com,07700000673,77 Elm Close,Leeds,LS1 1BA,bperez,F
LIB000674,Turner,Barbara,CPL,PT,1974-03-03,bturner@example.com,07700000674,78 High Street,Cardiff,CF1 1AA,bturner,M
LIB000675,Phillips,Barbara,CPL,PT,1975-04-04,bphillips@example.com,07700000675,79 Brook Street,Bradford,BD1 1AA,bphillips,F
LIB000676,Campbell,Barbara,CPL,PT,1976-05-05,bcampbell@example.com,07700000676,80 Mill Road,Belfast,BT1 1AA,bcampbell,M
LIB000677,Parker,Barbara,CPL,PT,1977-06-06,bparker@example.com,07700000677,81 Station Road,Leicester,LE1 1AA,bparker,F
LIB000678,Collins,Barbara,CPL,PT,1978-07-07,bcollins@example.com,07700000678,82 Park Avenue,Glasgow,G1 1AA,bcollins,M
LIB000679,Edwards,Barbara,CPL,PT,1979-08-08,bedwards@example.com,07700000679,83 Victoria Street,Bristol,BS1 1AA,bedwards,F
LIB000680,Gibson,Joseph,CPL,PT,1980-09-09,jgibson@example.com,07700000680,84 School Lane,Sheffield,S1 1AA,jgibson,M
LIB000681,Fleming,Joseph,CPL,PT,1981-10-10,jfleming@example.com,07700000681,85 Orchard Way,Liverpool,L1 1AA,jfleming,F
LIB000682,Moore,Joseph,CPL,PT,1982-11-11,jmoore@example.com,07700000682,86 Church Lane,Manchester,M1 1AA,jmoore,M
LIB000683,Hall,Joseph,CPL,PT,1983-12-12,jhall@example.com,07700000683,87 Elm Close,Nottingham,NG1 1AA,jhall,F
LIB000684,Robinson,Joseph,CPL,PT,1984-01-13,jrobinson@example.com,07700000684,88 High Street,Edinburgh,EH1 1AA,jrobinson,M
LIB000685,Murray,Joseph,CPL,PT,1985-02-14,jmurray@example.com,07700000685,89 Brook Street,Leeds,LS1 1BA,jmurray,F
LIB000686,Cooper,Joseph,CPL,PT,1986-03-15,jcooper@example.com,07700000686,90 Mill Road,Cardiff,CF1 1AA,jcooper,M
LIB000687,Williams,Joseph,CPL,PT,1987-04-16,jwilliams@example.com,07700000687,91 Station Road,Bradford,BD1 1AA,jwilliams,F
LIB000688,Smith,Joseph,CPL,PT,1988-05-17,jsmith@example.com,07700000688,92 Park Avenue,Belfast,BT1 1AA,jsmith,M
LIB000689,Jones,Joseph,CPL,PT,1989-06-18,jjones@example.com,07700000689,93 Victoria Street,Leicester,LE1 1AA,jjones,F
LIB000690,Taylor,Joseph,CPL,PT,1990-07-19,jtaylor@example.com,07700000690,94 School Lane,Glasgow,G1 1AA,jtaylor,M
LIB000691,Brown,Joseph,CPL,PT,1991-08-20,jbrown@example.com,07700000691,95 Orchard Way,Bristol,BS1 1AA,jbrown,F
LIB000692,Wilson,Joseph,CPL,PT,1992-09-21,jwilson@example.com,07700000692,96 Church Lane,Sheffield,S1 1AA,jwilson,M
LIB000693,Evans,Joseph,CPL,PT,1993-10-22,jevans@example.com,07700000693,97 Elm Close,Liverpool,L1 1AA,jevans,F
LIB000694,Thomas,Joseph,CPL,PT,1994-11-23,jthomas@example.com,07700000694,98 High Street,Manchester,M1 1AA,jthomas,M
LIB000695,Roberts,Joseph,CPL,PT,1995-12-24,jroberts@example.com,07700000695,99 Brook Street,Nottingham,NG1 1AA,jroberts,F
LIB000696,Johnson,Joseph,CPL,PT,1996-01-25,jjohnson@example.com,07700000696,100 Mill Road,Edinburgh,EH1 1AA,jjohnson,M
LIB000697,Walker,Joseph,CPL,PT,1997-02-26,jwalker@example.com,07700000697,101 Station Road,Leeds,LS1 1BA,jwalker,F
LIB000698,White,Joseph,CPL,PT,1998-03-27,jwhite@example.com,07700000698,102 Park Avenue,Cardiff,CF1 1AA,jwhite,M
