cardnumber,surname,firstname,branchcode,categorycode,dateofbirth,email,phone,address,city,zipcode,userid,sex
LIB000048,Hill,Harper,CPL,PT,1957-03-12,hhill@example.com,07775061557,78 Mill Lane,Leicester,LE1 1AA,hhill,F
LIB000049,Harris,Jackson,CPL,PT,1974-06-16,jharris@example.com,07773531704,6 Station Road,Leeds,LS1 1BA,jharris,M
LIB000050,Phillips,Owen,CPL,PT,1950-10-17,ophillips@example.com,07718597764,190 Manor Way,Manchester,M1 2AB,ophillips,M
LIB000051,Scott,Jackson,CPL,PT,2005-10-03,jscott@example.com,07749262497,97 Victoria Road,London,EC1A 1BB,jscott,M
LIB000052,Roberts,Emily,CPL,PT,2003-08-25,eroberts@example.com,07717674627,173 Park Road,Edinburgh,EH1 1AA,eroberts,F
LIB000053,Robinson,Oliver,CPL,PT,1968-02-02,orobinson1@example.com,07729462828,68 The Avenue,Cardiff,CF1 1AA,orobinson1,M
LIB000054,Jones,Jacob,CPL,PT,1994-10-06,jjones2@example.com,07760880805,100 Orchard Way,Birmingham,B1 1BB,jjones2,M
LIB000055,Fox,Benjamin,CPL,PT,2003-04-15,bfox@example.com,07786471911,112 Victoria Road,Sheffield,S1 1AA,bfox,M
LIB000056,Turner,Jacob,CPL,PT,1953-06-19,jturner@example.com,07754897215,173 Manor Way,Liverpool,L1 1AA,jturner,M
LIB000057,Scott,Jack,CPL,PT,1962-06-19,jscott1@example.com,07710929509,146 Green Lane,Leeds,LS1 1BA,jscott1,M
LIB000058,Watson,Oliver,CPL,PT,1973-09-01,owatson@example.com,07787011195,182 Oak Drive,London,EC1A 1BB,owatson,M
LIB000059,Morris,Bob,CPL,PT,1966-03-12,bmorris@example.com,07700634602,4 Station Road,Coventry,CV1 1AA,bmorris,M
LIB000060,Moore,Emma,CPL,PT,1955-04-04,emoore@example.com,07783104031,76 Orchard Way,Glasgow,G1 1AA,emoore,F
LIB000061,Walker,Harper,CPL,PT,1972-04-02,hwalker@example.com,07749859064,168 The Avenue,Bristol,BS1 1AA,hwalker,F
LIB000062,Thomas,Henry,CPL,PT,1997-01-11,hthomas@example.com,07779753686,71 Station Road,Belfast,BT1 1AA,hthomas,M
LIB000063,Taylor,William,CPL,PT,1956-03-13,wtaylor@example.com,07714944610,172 School Lane,Sheffield,S1 1AA,wtaylor,M
LIB000064,Clarke,Oliver,CPL,PT,1976-10-20,oclarke@example.com,07712721905,131 High Street,Bristol,BS1 1AA,oclarke,M
LIB000065,Williams,Amelia,CPL,PT,1967-01-18,awilliams@example.com,07752447727,52 Park Road,Nottingham,NG1 1AA,awilliams,F
LIB000066,Phillips,Daniel,CPL,PT,1976-07-07,dphillips@example.com,07749443310,139 Victoria Road,Birmingham,B1 1BB,dphillips,M
LIB000067,Green,Emma,CPL,PT,1974-08-26,egreen@example.com,07751152347,82 Oak Drive,Birmingham,B1 1BB,egreen,F
LIB000068,Fleming,Sebastian,CPL,PT,1991-02-17,sfleming2@example.com,07751098167,2 Orchard Way,Belfast,BT1 1AA,sfleming2,M
LIB000069,Johnson,James,CPL,PT,1963-09-28,jjohnson1@example.com,07769507039,162 Station Road,Birmingham,B1 1BB,jjohnson1,M
LIB000070,Phillips,Victoria,CPL,PT,1972-08-13,vphillips@example.com,07772034474,124 Station Road,Nottingham,NG1 1AA,vphillips,F
LIB000071,Morgan,Amelia,CPL,PT,1961-06-22,amorgan1@example.com,07726903106,157 School Lane,Nottingham,NG1 1AA,amorgan1,F
LIB000072,Roberts,Benjamin,CPL,PT,1980-12-13,broberts@example.com,07732105727,112 Victoria Road,Sheffield,S1 1AA,broberts,M
LIB000073,Morgan,Aiden,CPL,PT,1972-12-09,amorgan2@example.com,07731349508,18 Oak Drive,Manchester,M1 2AB,amorgan2,M
LIB000074,Smith,Logan,CPL,PT,1978-04-24,lsmith@example.com,07734424854,154 Oak Drive,Nottingham,NG1 1AA,lsmith,M
LIB000075,Baker,Scarlett,CPL,PT,1965-01-26,sbaker@example.com,07786730658,140 Victoria Road,London,EC1A 1BB,sbaker,F
LIB000076,Young,Alice,CPL,PT,1967-06-21,ayoung@example.com,07706959577,87 Orchard Way,London,EC1A 1BB,ayoung,F
LIB000077,Edwards,Madison,CPL,PT,1950-04-08,medwards1@example.com,07720807225,186 Park Road,Birmingham,B1 1BB,medwards1,F
LIB000078,Lewis,Henry,CPL,PT,1957-08-13,hlewis@example.com,07720620469,38 Elm Close,Manchester,M1 2AB,hlewis,M
LIB000079,Davies,James,CPL,PT,2002-01-02,jdavies@example.com,07728779621,85 Elm Close,Nottingham,NG1 1AA,jdavies,M
LIB000080,Davies,Owen,CPL,PT,1980-12-13,odavies@example.com,07716124345,103 Victoria Road,Manchester,M1 2AB,odavies,M
LIB000081,Wood,Elizabeth,CPL,PT,1995-10-21,ewood@example.com,07718766532,77 Green Lane,Coventry,CV1 1AA,ewood,F
LIB000082,Edwards,Ryan,CPL,PT,1998-01-14,redwards@example.com,07777317524,130 Mill Lane,Leeds,LS1 1BA,redwards,M
LIB000083,Wright,Madison,CPL,PT,1976-02-20,mwright1@example.com,07701780976,63 Victoria Road,Sheffield,S1 1AA,mwright1,F
LIB000084,Scott,Aiden,CPL,PT,2003-12-13,ascott@example.com,07736503434,170 The Avenue,Nottingham,NG1 1AA,ascott,M
LIB000085,Jackson,Madison,CPL,PT,1961-02-16,mjackson@example.com,07764106665,102 High Street,Cardiff,CF1 1AA,mjackson,F
LIB000086,Morris,William,CPL,PT,1997-02-02,wmorris@example.com,07742255461,51 Brook Street,Liverpool,L1 1AA,wmorris,M
LIB000087,Johnson,Owen,CPL,PT,1990-11-02,ojohnson@example.com,07781638636,28 School Lane,Bradford,BD1 1AA,ojohnson,M
LIB000088,Davies,Emily,CPL,PT,1954-09-20,edavies1@example.com,07789046568,196 Orchard Way,Manchester,M1 2AB,edavies1,F
LIB000089,Martin,Samuel,CPL,PT,1954-10-11,smartin@example.com,07785983018,66 Church Lane,Glasgow,G1 1AA,smartin,M
LIB000090,Baker,Lucas,CPL,PT,1954-01-19,lbaker@example.com,07703216387,192 Brook Street,Bradford,BD1 1AA,lbaker,M
LIB000091,Wilson,Sofia,CPL,PT,1999-09-15,swilson@example.com,07712120252,155 Oak Drive,Coventry,CV1 1AA,swilson,F
LIB000092,Moore,Mia,CPL,PT,1996-03-09,mmoore@example.com,07724565914,29 Manor Way,London,EC1A 1BB,mmoore,F
LIB000093,Green,Victoria,CPL,PT,1986-10-17,vgreen@example.com,07724885497,69 School Lane,Leeds,LS1 1BA,vgreen,F
LIB000094,Morgan,Ethan,CPL,PT,1991-10-27,emorgan@example.com,07799741953,142 Elm Close,Bristol,BS1 1AA,emorgan,M
LIB000095,Shaw,Harper,CPL,PT,1950-04-04,hshaw@example.com,07772403404,167 Elm Close,Cardiff,CF1 1AA,hshaw,F
LIB000096,Hill,Sebastian,CPL,PT,1987-11-05,shill@example.com,07736728254,189 High Street,Manchester,M1 2AB,shill,M
LIB000097,Morris,Daniel,CPL,PT,2005-03-20,dmorris@example.com,07765232148,4 Elm Close,Bradford,BD1 1AA,dmorris,M
LIB000098,Edwards,Sebastian,CPL,PT,1950-01-19,sedwards@example.com,07772926359,97 High Street,Belfast,BT1 1AA,sedwards,M
LIB000099,Fleming,Henry,CPL,PT,1972-09-20,hfleming@example.com,07724138766,97 Manor Way,Manchester,M1 2AB,hfleming,M
LIB000100,Baker,Owen,CPL,PT,1992-06-21,obaker@example.com,07736418082,15 Manor Way,Bristol,BS1 1AA,obaker,M
LIB000101,Brown,Victoria,CPL,PT,1995-07-10,vbrown@example.com,07718271808,48 Mill Lane,Glasgow,G1 1AA,vbrown,F
LIB000102,Wood,Ryan,CPL,PT,1969-07-08,rwood@example.com,07706519195,143 Park Road,Leicester,LE1 1AA,rwood,M
LIB000103,Clarke,Ethan,CPL,PT,1965-09-08,eclarke@example.com,07779544071,123 Mill Lane,Birmingham,B1 1BB,eclarke,M
LIB000104,Cooper,Mia,CPL,PT,1992-06-06,mcooper@example.com,07735379440,37 High Street,London,EC1A 1BB,mcooper,F
LIB000105,Morris,Alexander,CPL,PT,1980-03-17,amorris@example.com,07716869847,135 Brook Street,Liverpool,L1 1AA,amorris,M
LIB000106,Green,Harper,CPL,PT,1964-05-11,hgreen@example.com,07760691695,96 Green Lane,London,EC1A 1BB,hgreen,F
LIB000107,Smith,Ella,CPL,PT,1955-12-18,esmith@example.com,07723624393,139 Park Road,Nottingham,NG1 1AA,esmith,F
LIB000108,Robinson,Isabella,CPL,PT,1998-05-26,irobinson@example.com,07796634518,100 Park Road,Edinburgh,EH1 1AA,irobinson,F
LIB000109,Morgan,Bob,CPL,PT,2003-02-13,bmorgan@example.com,07761367315,66 Station Road,Belfast,BT1 1AA,bmorgan,M
LIB000110,Ward,Jackson,CPL,PT,1968-01-23,jward1@example.com,07715996952,196 Church Lane,Edinburgh,EH1 1AA,jward1,M
LIB000111,Smith,Daniel,CPL,PT,1997-11-12,dsmith@example.com,07755080127,86 Church Lane,Bristol,BS1 1AA,dsmith,M
LIB000112,Scott,Oliver,CPL,PT,1988-11-17,oscott@example.com,07782724694,152 Castle Road,Bristol,BS1 1AA,oscott,M
LIB000113,Hill,Logan,CPL,PT,1954-02-12,lhill@example.com,07763974331,3 Church Lane,Belfast,BT1 1AA,lhill,M
LIB000114,Edwards,Sophia,CPL,PT,2004-09-23,sedwards1@example.com,07741671211,109 Elm Close,Coventry,CV1 1AA,sedwards1,F
LIB000115,Edwards,Ella,CPL,PT,1978-06-05,eedwards@example.com,07742570502,51 Oak Drive,Bristol,BS1 1AA,eedwards,F
LIB000116,Walker,Victoria,CPL,PT,1977-11-26,vwalker@example.com,07706700006,35 Elm Close,Sheffield,S1 1AA,vwalker,F
LIB000117,Robinson,Henry,CPL,PT,1961-09-28,hrobinson@example.com,07788140976,88 The Avenue,Bristol,BS1 1AA,hrobinson,M
LIB000118,Parker,Abigail,CPL,PT,2003-03-07,aparker@example.com,07708554184,7 Church Lane,London,EC1A 1BB,aparker,F
LIB000119,Taylor,Bob,CPL,PT,1964-07-24,btaylor@example.com,07752509766,92 Victoria Road,Leicester,LE1 1AA,btaylor,M
LIB000120,Thompson,Sofia,CPL,PT,1997-02-09,sthompson@example.com,07747628319,9 Brook Street,Cardiff,CF1 1AA,sthompson,F
LIB000121,Roberts,Jacob,CPL,PT,1972-12-25,jroberts@example.com,07728903812,98 Orchard Way,Birmingham,B1 1BB,jroberts,M
LIB000122,Thompson,Elizabeth,CPL,PT,1967-03-13,ethompson@example.com,07715176599,161 Elm Close,Liverpool,L1 1AA,ethompson,F
LIB000123,Hill,Oliver,CPL,PT,1969-10-13,ohill@example.com,07751205347,36 The Avenue,Cardiff,CF1 1AA,ohill,M
LIB000124,Walker,James,CPL,PT,1953-07-13,jwalker@example.com,07721380031,43 Park Road,Leicester,LE1 1AA,jwalker,M
LIB000125,Jones,Emma,CPL,PT,1994-06-10,ejones@example.com,07756590801,18 Church Lane,Cardiff,CF1 1AA,ejones,F
LIB000126,Murray,Alice,CPL,PT,1953-04-15,amurray@example.com,07776388428,115 Elm Close,Cardiff,CF1 1AA,amurray,F
LIB000127,Campbell,Emily,CPL,PT,2005-08-07,ecampbell@example.com,07711993664,64 The Avenue,Edinburgh,EH1 1AA,ecampbell,F
LIB000128,Turner,Sophia,CPL,PT,1983-05-04,sturner@example.com,07744384686,199 Church Lane,Birmingham,B1 1BB,sturner,F
LIB000129,Wilson,William,CPL,PT,1958-06-26,wwilson@example.com,07760617348,107 Mill Lane,Bristol,BS1 1AA,wwilson,M
LIB000130,Thomas,Madison,CPL,PT,1980-09-22,mthomas@example.com,07797350836,40 Mill Lane,Edinburgh,EH1 1AA,mthomas,F
LIB000131,Thomas,Ethan,CPL,PT,1971-10-20,ethomas@example.com,07740862034,162 Orchard Way,Manchester,M1 2AB,ethomas,M
LIB000132,Campbell,William,CPL,PT,1964-12-26,wcampbell@example.com,07722976731,183 Castle Road,Coventry,CV1 1AA,wcampbell,M
LIB000133,Phillips,Ella,CPL,PT,1965-10-10,ephillips@example.com,07742463203,91 Brook Street,Leicester,LE1 1AA,ephillips,F
LIB000134,White,Henry,CPL,PT,2004-01-08,hwhite@example.com,07716830263,146 Brook Street,Belfast,BT1 1AA,hwhite,M
LIB000135,Williams,Charlotte,CPL,PT,1957-04-27,cwilliams@example.com,07733115969,82 Manor Way,Glasgow,G1 1AA,cwilliams,F
LIB000136,Bryant,Amelia,CPL,PT,1951-11-28,abryant@example.com,07756123852,109 Victoria Road,Sheffield,S1 1AA,abryant,F
LIB000137,Gray,Mason,CPL,PT,1984-12-25,mgray@example.com,07701923637,167 Station Road,Cardiff,CF1 1AA,mgray,M
LIB000138,Williams,James,CPL,PT,1964-10-05,jwilliams@example.com,07769162596,11 Park Road,Sheffield,S1 1AA,jwilliams,M
LIB000139,Green,Mia,CPL,PT,1986-04-19,mgreen@example.com,07730752731,183 Mill Lane,Leicester,LE1 1AA,mgreen,F
LIB000140,Robinson,Jackson,CPL,PT,1950-04-01,jrobinson@example.com,07795443131,128 School Lane,Belfast,BT1 1AA,jrobinson,M
LIB000141,Shaw,Scarlett,CPL,PT,1982-01-23,sshaw@example.com,07765499255,124 Park Road,Nottingham,NG1 1AA,sshaw,F
LIB000142,Murray,Sophia,CPL,PT,2004-10-22,smurray@example.com,07728680211,61 Oak Drive,Sheffield,S1 1AA,smurray,F
LIB000143,Wright,Aiden,CPL,PT,1993-05-26,awright@example.com,07733128131,139 Manor Way,Manchester,M1 2AB,awright,M
LIB000144,Young,Victoria,CPL,PT,1974-12-25,vyoung@example.com,07783602114,78 Church Lane,Cardiff,CF1 1AA,vyoung,F
LIB000145,Robinson,Jack,CPL,PT,1967-08-22,jrobinson1@example.com,07742050617,115 Manor Way,Glasgow,G1 1AA,jrobinson1,M
LIB000146,Thompson,Daniel,CPL,PT,1974-10-28,dthompson@example.com,07723659245,170 Oak Drive,Nottingham,NG1 1AA,dthompson,M
LIB000147,Roberts,Benjamin,CPL,PT,1964-06-21,broberts1@example.com,07795821306,72 Elm Close,Sheffield,S1 1AA,broberts1,M
LIB000148,Robinson,Emily,CPL,PT,1970-09-17,erobinson@example.com,07755156161,97 Church Lane,Coventry,CV1 1AA,erobinson,F
LIB000149,Robinson,Abigail,CPL,PT,1992-01-07,arobinson@example.com,07792522811,123 Mill Lane,Sheffield,S1 1AA,arobinson,F
LIB000150,Scott,Oliver,CPL,PT,1968-12-01,oscott1@example.com,07780707336,106 Park Road,Manchester,M1 2AB,oscott1,M
LIB000151,Taylor,Jackson,CPL,PT,1994-11-14,jtaylor@example.com,07791695941,23 School Lane,Leicester,LE1 1AA,jtaylor,M
LIB000152,Scott,Samuel,CPL,PT,1965-10-12,sscott@example.com,07783062489,82 Castle Road,Leicester,LE1 1AA,sscott,M
LIB000153,Taylor,Sophia,CPL,PT,1976-12-21,staylor@example.com,07740278334,79 Victoria Road,Nottingham,NG1 1AA,staylor,F
LIB000154,Hill,Mia,CPL,PT,1966-05-28,mhill@example.com,07703835803,87 Mill Lane,Birmingham,B1 1BB,mhill,F
LIB000155,Thomas,Samuel,CPL,PT,1989-06-25,sthomas@example.com,07722943984,2 Castle Road,Belfast,BT1 1AA,sthomas,M
LIB000156,Jones,Abigail,CPL,PT,1995-02-11,ajones@example.com,07775893267,98 The Avenue,Belfast,BT1 1AA,ajones,F
LIB000157,Fox,Mia,CPL,PT,1959-07-27,mfox@example.com,07758584329,118 High Street,Sheffield,S1 1AA,mfox,F
LIB000158,Bryant,Jackson,CPL,PT,2005-04-13,jbryant@example.com,07721313724,53 Station Road,Bradford,BD1 1AA,jbryant,M
LIB000159,Edwards,Amelia,CPL,PT,1972-07-03,aedwards@example.com,07738306110,130 Oak Drive,London,EC1A 1BB,aedwards,F
LIB000160,Hughes,Amelia,CPL,PT,1968-07-15,ahughes@example.com,07722589601,96 High Street,Coventry,CV1 1AA,ahughes,F
LIB000161,Martin,Mia,CPL,PT,1965-09-25,mmartin@example.com,07758500891,60 Orchard Way,Nottingham,NG1 1AA,mmartin,F
LIB000162,Thomas,Jack,CPL,PT,1979-03-02,jthomas@example.com,07784979649,29 Orchard Way,Edinburgh,EH1 1AA,jthomas,M
LIB000163,Morgan,Henry,CPL,PT,1981-09-24,hmorgan@example.com,07797964729,175 School Lane,Bristol,BS1 1AA,hmorgan,M
LIB000164,Shaw,Sebastian,CPL,PT,1985-05-05,sshaw1@example.com,07740602627,69 Elm Close,Cardiff,CF1 1AA,sshaw1,M
LIB000165,Wright,Harper,CPL,PT,1985-09-23,hwright@example.com,07733266752,181 Orchard Way,Liverpool,L1 1AA,hwright,F
LIB000166,Jones,Abigail,CPL,PT,2001-02-24,ajones1@example.com,07767515537,110 Green Lane,Liverpool,L1 1AA,ajones1,F
LIB000167,Green,Mia,CPL,PT,1989-02-04,mgreen1@example.com,07721571666,26 High Street,Cardiff,CF1 1AA,mgreen1,F
LIB000168,White,Daniel,CPL,PT,1959-02-06,dwhite@example.com,07781783467,115 Park Road,Nottingham,NG1 1AA,dwhite,M
LIB000169,Ward,Sofia,CPL,PT,1958-11-04,sward@example.com,07798756017,11 Mill Lane,Birmingham,B1 1BB,sward,F
LIB000170,Johnson,Logan,CPL,PT,1961-12-05,ljohnson@example.com,07768862470,55 Brook Street,Cardiff,CF1 1AA,ljohnson,M
LIB000171,Cooper,Victoria,CPL,PT,1996-04-10,vcooper@example.com,07787445357,198 Victoria Road,Nottingham,NG1 1AA,vcooper,F
LIB000172,Murray,Mia,CPL,PT,1978-07-22,mmurray@example.com,07794056698,149 Station Road,Belfast,BT1 1AA,mmurray,F
LIB000173,Bryant,Abigail,CPL,PT,1977-02-11,abryant1@example.com,07799005052,86 Elm Close,Bradford,BD1 1AA,abryant1,F
LIB000174,Powell,Oliver,CPL,PT,1962-11-13,opowell@example.com,07794026531,81 Castle Road,London,EC1A 1BB,opowell,M
LIB000175,Gray,Emma,CPL,PT,1971-10-25,egray@example.com,07712845941,44 Mill Lane,Edinburgh,EH1 1AA,egray,F
LIB000176,Bryant,Ryan,CPL,PT,1974-05-28,rbryant@example.com,07720295367,32 Elm Close,London,EC1A 1BB,rbryant,M
LIB000177,Harris,Sebastian,CPL,PT,1965-09-17,sharris@example.com,07773585295,41 Oak Drive,Bristol,BS1 1AA,sharris,M
LIB000178,Williams,Benjamin,CPL,PT,1998-08-20,bwilliams@example.com,07786175558,60 School Lane,Cardiff,CF1 1AA,bwilliams,M
LIB000179,Smith,Amelia,CPL,PT,1972-12-27,asmith1@example.com,07714034475,170 Brook Street,Coventry,CV1 1AA,asmith1,F
LIB000180,Watson,Jacob,CPL,PT,1990-10-05,jwatson@example.com,07702322884,113 School Lane,Coventry,CV1 1AA,jwatson,M
LIB000181,Murray,Alice,CPL,PT,1969-02-25,amurray1@example.com,07760396986,8 Brook Street,Manchester,M1 2AB,amurray1,F
LIB000182,Shaw,Owen,CPL,PT,2005-07-19,oshaw@example.com,07774407098,159 Castle Road,Leicester,LE1 1AA,oshaw,M
LIB000183,Brown,Samuel,CPL,PT,1955-09-14,sbrown@example.com,07797800520,39 Green Lane,London,EC1A 1BB,sbrown,M
LIB000184,Robinson,Isabella,CPL,PT,1992-06-09,irobinson1@example.com,07723805168,83 Brook Street,Manchester,M1 2AB,irobinson1,F
LIB000185,Parker,Lucas,CPL,PT,2001-04-01,lparker@example.com,07785903826,50 The Avenue,Belfast,BT1 1AA,lparker,M
LIB000186,Ward,Lucas,CPL,PT,1972-01-06,lward@example.com,07783890743,66 Station Road,Glasgow,G1 1AA,lward,M
LIB000187,Hall,Madison,CPL,PT,2004-05-09,mhall@example.com,07761693005,83 Brook Street,Leicester,LE1 1AA,mhall,F
LIB000188,Edwards,Madison,CPL,PT,1990-07-25,medwards2@example.com,07725914540,149 Castle Road,Sheffield,S1 1AA,medwards2,F
LIB000189,Allen,Mia,CPL,PT,2002-09-23,mallen@example.com,07788747097,33 Green Lane,Belfast,BT1 1AA,mallen,F
LIB000190,Scott,Evelyn,CPL,PT,1984-09-19,escott@example.com,07796389154,3 Castle Road,Coventry,CV1 1AA,escott,F
LIB000191,Wright,Elizabeth,CPL,PT,1989-06-15,ewright@example.com,07765420284,98 High Street,Birmingham,B1 1BB,ewright,F
LIB000192,Shaw,Victoria,CPL,PT,1981-03-02,vshaw@example.com,07762857464,148 Elm Close,Liverpool,L1 1AA,vshaw,F
LIB000193,Green,Alice,CPL,PT,1976-03-03,agreen@example.com,07762440482,23 Green Lane,London,EC1A 1BB,agreen,F
LIB000194,Fleming,Abigail,CPL,PT,2003-01-05,afleming1@example.com,07775884467,74 High Street,Liverpool,L1 1AA,afleming1,F
LIB000195,Rice,Ryan,CPL,PT,1981-09-24,rrice@example.com,07744375066,70 School Lane,Birmingham,B1 1BB,rrice,M
LIB000196,Brown,Isabella,CPL,PT,1950-12-11,ibrown@example.com,07740980098,139 Victoria Road,Belfast,BT1 1AA,ibrown,F
LIB000197,Roberts,Logan,CPL,PT,2002-01-08,lroberts@example.com,07705781581,54 Manor Way,Birmingham,B1 1BB,lroberts,M
